add,,,,,,
"(a , b)",,return a + b,,,,
"5 , 3",,5 + 3 = 8,,,,
multiply,,,,,,
"(a , b)",total = a,i = 1,i < b,i++,"total = add( a , total)",return total
"4 , 6",4,1,true,1 + 1 = 2,4 + 4 = 8,
"4 , 6",8,2,true,1 + 2 = 3,8 + 4= 12,
"4 , 6",12,3,true,1 + 3 = 4,12 + 4 = 16,
"4 , 6",24,7,false,,,24
"power ",,,,,,
"(a , b)",total = a,i = 1,i < b,i++,"total = multiply(total , a)",return total
"3 , 4",3,1,true,1 + 1 = 2,total = 3+3+3= 9,
"3 , 4",9,2,true,2 + 1 = 3,total = 9+9+9=27,
"3 , 4",27,3,true,3 + 1 = 4,total = 27+27+27=81,
"3 , 4",81,4,false,,,81
factorial,,,,,,
a,total = a,i = 0,i < a,i++,"total = multiply(total , i)",return total
5,5,1,true,1 + 1 = 2,total = 5,
5,5,2,true,2 + 1 = 3,total = 5 + 5 = 10,
5,10,3,true,3 + 1 = 4,total = 10 + 10 +10= 30,
5,30,4,true,4 + 1 = 5,total = 30 + 30 + 30 + 30 = 120,
5,120,5,false,,,120